Timestamp,How many years have you been doing data visualization?,What is your educational background?,How did you learn to create data visualization?,Did you set out to work in data visualization or did you fall into it?,Is this your first job doing data visualization?,What is your official job title?,Is your total compensation in-line with Software Engineers and UX/UI/Designer roles at your level?,What focus is data visualization in your work?,For your current role or the majority of your projects: were you hired to do data visualization only or is data visualization a part of your job/project description?,What's your employment status,How is your organization using data visualization?,Is there a separate group that does data visualizations or are you embedded in another group? (data science UX UI web data engineering IT etc),What level of data visualizations are used at your organization?,Are data visualization specialists represented in the leadership of your organization?,Data visualization roles at your organization are found in what part of the organization?,Percent of your day focused on creating/implementing/productizing data visualizations?,Percent of your day focused on data engineering?,Percent of your day focused on data science?,Percent of your day focused on design?,Percent of your day focused on data prep work?,What technologies do you use to visualize data?,Are you able to choose your own tools or are the choices made for you?,How do you present your data visualizations?,Which of these charts have you used in production in the last 6 months:,Who do you make data visualizations for?,What knowledge level do they have of the data you are visualizing for them?,How often do they consume your data visualizations?,What do they use your data visualizations for?,How would you describe the relationship?,What is your biggest frustration with your job?,What is your biggest frustration with doing data visualization in your job?,If you could change one thing about your job what would it be?,If you could change one thing about your data visualization work what would it be?,What do you think other people in your organization just don‰Ûªt get about the data visualization work that you do?,What one change would make your job better?,What community support / discussions / advice would you want to see from data visualization thought leaders?,Who do you look to as a thought leader in data visualization?,Do you want to spend more time or less time visualizing data in the future?,Gender,Age,Where do you live?,What‰Ûªs your ethnicity?,The organization you work for is in which of the following?
2/28/17 8:09,4,Bachelors,Mostly Self-Taught,Intended to work in data visualization,No,Performance Expert,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview,Both,Business Intelligence Tools,No,IT,20,10,5,10,5,Excel;Microstrategy,We have a set list of tools we're expected to use for data visualization.,Embedded in a tool;Dashboard;Presentations,Line Chart;Bar Chart;Infographics,Analysts;Engineers;Executives,Moderate,Monthly,Analysis;Summarization,Consultative,,Tooling,Tooling,Tooling,The basic rules of Few,Creativity,, ,Much more,male,46 - 55,Europe,white,Public sector
3/1/17 11:10,6,Masters,Equal Parts School and Self-Taught,Ended up doing data visualization as a requirement of the job,No,Instructional Technologist,Data Visualization Role has Lower compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication;Marketing;Exploration,Embedded in another team,Business Intelligence Tools,No,IT,10,1,1,1,5,Excel;Tableau;Plotly;D3;Other Javascript,We have a set list of tools we're expected to use for data visualization.,Embedded in a tool;Dashboard;Presentations,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Flow Diagram,Analysts;Executives,Moderate,Monthly,Analysis;Summarization,Collaborative,Comp,Messy and poorly documented DB,,Do more of it,The transformative potential,,,538;Upshot;Nathan Yau,Much more,male,26 - 35,USA or Canada,,Not-for-profit
2/27/17 12:50,4,Bachelors,Equal Parts School and Self-Taught,Intended to work in data visualization,Yes,Data Visualization Specialist,Don't Know/Prefer Not to Say,Data visualization is the focus of my job,Hired to do data visualization,Full-time,Summary/Overview;Communication;Exploration,Embedded in another team,General charting libraries,No,Research,70,0,0,30,0,Illustrator;Excel;Qlik;D3;Vega,I'm able to choose my own tools.,Static Web Page;Documents,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Dendrogram;Network Diagram;Flow Diagram,General Public,Moderate,Monthly,Summarization;Learning;Research,Consultative,,Gap in high-level and low-level programming and customizaton,More maps!,,I can write- too! ,Easier access to CMS,,Alberto Cairo,Same,,26 - 35,,,Not-for-profit
2/27/17 14:09,10,Bachelors,Equal Parts School and Self-Taught,Ended up doing data visualization as a requirement of the job,No,Chief Data Scientist,Data Visualization Role has higher compensation,Data visualization is an important secondary part of my job but not the focus,Hired to do data visualization,Full-time,Analysis;Machine Learning;Summary/Overview;Communication;Marketing;Exploration,Both,Business Intelligence Tools;ggplot2/Pandas Charts;General charting libraries;Completely custom,Yes,Design;Engineering;Marketing;Research;IT,20,40,10,10,20,Illustrator;Excel;Plotly;D3;Leaflet;WebGL;Highcharts;Other Javascript;ggplot;Other R,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Static Web Page;Documents;Presentations;Email,Line Chart;Bar Chart;Infographics;Network Diagram;Choropleth Map,General Public;Analysts;Engineers;Product Managers;Project Managers;Executives,Moderate;Expert,Daily,Analysis;Summarization;Learning;Research,Collaborative,Getting data into the right format/place to do analysis & vis,Still working out the most efficient way to publish the vis,We'd buy RStudio Connect :-),Make font handling in R better,How important it is to understand the data you're working with to know how best to visualize it.,,Less pontificating and more application to the real world.,Alberto Cairo,Same,male,46 - 55,USA or Canada,white,Private sector
2/27/17 16:50,4,Bachelors,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Client Insights Manager,Data Visualization Role has Lower compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication;Exploration,Embedded in another team,Business Intelligence Tools,No,IT;Business-based BI teams,40,10,5,5,10,Excel;Tableau;Microstrategy;Power BI;Mapbox,We have a set list of tools we're expected to use for data visualization.,Embedded in a tool;Dashboard;Scrollytelling;Presentations,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Flow Diagram,Analysts;Product Managers;Executives,Expert,Daily,Analysis;Summarization;Learning,Collaborative,Poor data governance,Executive buy in is spotty,Stronger analysts as user base,,How difficult data prep is because of poor architecture,Data quality,Effective executive level visualization ,Alberto Cairo,Much more,male,26 - 35,USA or Canada,white,Private sector
2/27/17 18:34,10,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Director Business Intelligence,Data Visualization Role has same compensation,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Communication;Exploration,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts,Yes,Business Intelligence (which is not part of IT),25,20,10,5,5,Excel;Tableau;Power BI;ggplot,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Documents;Presentations,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Choropleth Map,Analysts;Medical Professionals;Project Managers;Executives,Intro;Moderate;Expert,Daily,Analysis;Summarization;Learning;Business decision-making,Collaborative,Antiquated data architecture,Antiquated data architecture,New data architecture,More of it,The time & effort to make them readily consumable for the organization,New data architecture,Theory & principles,Alberto Cairo,More,male,46 - 55,USA or Canada,white,Not-for-profit
2/27/17 20:01,5,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,Not a data visualization professional yet,Systems Engineer,Data Visualization Role has same compensation,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Analysis;Summary/Overview;Communication,Both,Business Intelligence Tools;General charting libraries,No,Design;Research,5,10,10,0,5,D3;Other Python;Looker,We have a set list of tools we're expected to use for data visualization.,Embedded in a tool;Dashboard;Presentations,Line Chart;Bar Chart,General Public;Engineers;Product Managers;Executives,Moderate,Quarterly,Analysis;Summarization,Consultative,Try to be data driven- but our data efforts aren't consistent,Our data viz efforts are not of uniform quality- don't really have folks focused on maintaining rigor across the board.,More UX/UI effort in our engineering teams.,More time for it- greater organizational support.,General low awareness- literacy in the data viz for systems/infra engineering.,Greater push to make our data visible.,More about effective interactive/dynamic dashboards,Alberto Cairo,More,male,36 - 45,USA or Canada,white,Private sector
2/27/17 20:49,3,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Data Journalist Senior Analyst Data Science,Data Visualization Role has higher compensation,Data visualization is one of several other things I do in my job but not a primary or secondary part of my role,Data visualization is only part of my job,Full-time,Analysis;Machine Learning;Summary/Overview;Communication;Marketing;Exploration,Embedded in another team,Business Intelligence Tools;ggplot2/Pandas Charts;Completely custom,No,Marketing;Research;data science,5,20,20,5,50,Excel;Tableau;Power BI;Other BI;D3;ggplot;Other R;Pandas;Other Python,I'm able to choose my own tools.,Embedded in a tool;Dashboard;Scrollytelling;Documents;Presentations;Email,Line Chart;Bar Chart;Infographics;Treemap;Dendrogram;Network Diagram;Choropleth Map;Raster Map;Flow Diagram,General Public;Analysts;Scientists;Medical Professionals;Product Managers;Project Managers;Executives,Expert,Daily,Analysis;Summarization;Learning;Research,Subordinate,firewalls preventing the movement of data and marketing professionals with no analytical knowledge,people asking for reports and not regularly utilizing them,more respect,greater use by executive management,the need for clarity and visualization rather than just Excel style tables,better organizational understanding of analytics ,more methodology sharing rather than just the final visualization- i.e. Propublica Nerds page or Data Stories podcast,Alberto Cairo,More,female,26 - 35,USA or Canada,white,Private sector
2/27/17 21:04,10,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Specialist,Don't Know/Prefer Not to Say,Data visualization is an important secondary part of my job but not the focus,Data visualization is only part of my job,Consultant,,,,,,35,10,20,5,30,Excel;Tableau;Microstrategy;Power BI;Qlik;Other BI;D3;ggplot;Other R,We have a set list of tools we're expected to use for data visualization.,Embedded in a tool;Dashboard;Scrollytelling;Static Web Page;Documents;Presentations,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Dendrogram;Network Diagram;Choropleth Map;Raster Map;Flow Diagram,General Public;Analysts;Engineers;Scientists;Project Managers;Executives,Moderate,Daily,Analysis;Summarization;Research,Consultative,,,,,,,,Alberto Cairo,Much more,male,26 - 35,USA or Canada,white,Private sector
2/28/17 1:14,10,Masters,Mostly Self-Taught,Ended up doing data visualization as a requirement of the job,No,Editor Graphics service,Don't Know/Prefer Not to Say,Data visualization is the focus of my job,Hired to do data visualization,Full-time,Communication,Separate data visualization team,GIS;Excel;Graphics,No,Specific department for news graphics,90,,,,10,Illustrator;Excel,We have a set list of tools we're expected to use for data visualization.,Embedded in a tool;Dashboard;Static Web Page;Presented online at our website and sometimes posted on our multimedia accounts (Twitter etc).,Line Chart;Bar Chart;Pie Chart;Infographics;Treemap;Choropleth Map;Often incorporate data into world;or regional maps,General Public,Intro,Daily,Entertainment;Summarization;It's a news product for the general public,Consultative,The lack of time to do original data journalism: lack of proper training and opportunity to expand skills into coding.,waste too much time filling in sports scores and other trivial stuff rather than investing time in exploiting the investigative potential of data journalism.,Get more of the trivial stuff automatized to free up time for more important work.,Training and use of a broader range of dataviz tools.,They don't understand its potential for handling big data. Some bureaux track the data coming into their offices- don't even think to pass on data-rich reports- so we are still picking them up at the last moment instead of having time to prepare the material properly.,More money from the specific skills I bring to the service.,Would like access to training in coding. But generally- there's plenty of great stuff out there -- need time off to expand- improve my skills.,Alberto Cairo,Less,male,46 - 55,Europe,multi,Private sector
